CASE ID,Predictions,TEST,Events from start,Events from end
199165,1.0074435,15.250048796296296,1,43
199165,1.8081895,15.250044780092592,2,42
199165,0.9195921,15.250044780092592,3,41
199165,7.642479,15.06892855324074,4,40
199165,9.723187,15.06894045138889,5,39
199165,10.7003765,15.06894045138889,6,38
199165,12.5288515,14.158034548611111,7,37
199165,13.44386,14.159385509259259,8,36
199165,13.962087,14.158071875,9,35
199165,14.957555,14.158071863425926,10,34
199165,10.517565,14.158059456018519,11,33
199165,13.588341,14.158058923611112,12,32
199165,14.818711,14.158058923611112,13,31
199165,9.0711975,14.157354467592592,14,30
199165,14.546166,14.157392152777778,15,29
199165,11.263798,14.157392152777778,16,28
199165,12.218,14.157379965277777,17,27
199165,7.1840134,14.157379583333332,18,26
199165,12.34069,14.157379583333332,19,25
199165,10.032579,14.156706145833335,20,24
199165,12.981162,14.156471782407408,21,23
199165,2.5931995,7.118480775462962,22,22
199165,3.7882586,7.118502523148148,23,21
199165,3.1161604,7.118502523148148,24,20
199165,1.8772656,5.062723414351852,25,19
199165,1.0511003,4.259263425925925,26,18
199165,1.1762984,4.259263425925925,27,17
199165,1.5994853,4.202557650462963,28,16
199165,2.361229,4.202597534722223,29,15
199165,2.844171,4.202597534722223,30,14
199165,3.2498288,4.202578599537038,31,13
199165,3.41283,4.2025778125,32,12
199165,3.7585182,4.2025778125,33,11
199165,1.9026337,4.202084513888889,34,10
199165,1.7156787,4.168423611111111,35,9
199165,0.96111745,0.06310072916666667,36,8
199165,0.86006784,0.06312287037037037,37,7
199165,0.8491531,0.06312287037037037,38,6
199165,1.7368038,0.022365358796296295,39,5
199165,0.1756492,7.445601851851851e-05,40,4
199165,-0.04641995,7.444444444444444e-05,41,3
199165,-0.060269997,7.444444444444444e-05,42,2
199165,-0.057912767,7.444444444444444e-05,43,1
199168,0.971584,0.1713970138888889,1,4
199168,1.479675,0.17139520833333333,2,3
199168,1.1363295,0.17139520833333333,3,2
199168,0.085622616,3.739583333333333e-05,4,1
199171,1.0053934,0.1647531712962963,1,4
199171,1.5850827,0.16473644675925925,2,3
199171,1.1092544,0.16473644675925925,3,2
199171,0.08123308,4.6770833333333336e-05,4,1
199174,0.963788,0.00041214120370370374,1,2
199174,1.44871,0.00040998842592592595,2,1
199177,1.006657,8.980958738425926,1,24
199177,1.8938072,8.980956585648148,2,23
