CASE ID,remaining_time,TEST,Events from start,Events from end
201710000981,18.195997,385.8934375,1,10
201710000981,15.694087,260.7051157407407,2,9
201710000981,13.637522,260.68435185185183,3,8
201710000981,4.046916,245.8737152777778,4,7
201710000981,10.523583,120.96938657407408,5,6
201710000981,3.4640553,118.72118055555555,6,5
201710000981,10.526432,6.992361111111111,7,4
201710000981,3.670953,1.896273148148148,8,3
201710000981,2.2928343,1.896064814814815,9,2
201710000981,1.2572054,0.2458101851851852,10,1
201710001376,9.198565,357.84054398148146,1,6
201710001376,9.364989,328.79375,2,5
201710001376,7.5511813,1.8296180555555555,3,4
201710001376,1.9228666,1.7997337962962963,4,3
201710001376,1.7769247,1.797662037037037,5,2
201710001376,1.7591412,0.20554398148148148,6,1
201710002089,9.204813,368.7189236111111,1,5
201710002089,7.366691,4.393391203703704,2,4
201710002089,6.5205564,4.392569444444445,3,3
201710002089,1.889209,1.4190509259259259,4,2
201710002089,1.7774739,1.4169791666666667,5,1
201710002102,7.3450565,344.71416666666664,1,5
201710002102,5.6504,344.7126736111111,2,4
201710002102,4.915086,5.489664351851852,3,3
201710002102,1.8450522,1.6981712962962963,4,2
201710002102,1.777343,1.697650462962963,5,1
201710002200,18.196033,94.48858796296297,1,7
201710002200,15.692036,94.48766203703704,2,6
201710002200,13.636448,88.68788194444444,3,5
201710002200,4.0684824,84.50065972222222,4,4
201710002200,10.698622,30.448923611111113,5,3
201710002200,3.3904886,1.745462962962963,6,2
201710002200,3.9946997,1.7436226851851853,7,1
201710002376,7.3689027,340.49820601851854,1,5
201710002376,5.581302,269.3980555555556,2,4
201710002376,5.3427243,1.7070370370370371,3,3
201710002376,1.8848338,1.6202314814814816,4,2
201710002376,1.7993308,1.6197453703703704,5,1
201710002452,7.4024377,346.65270833333335,1,8
201710002452,6.514825,339.63697916666666,2,7
201710002452,5.7251906,331.90783564814814,3,6
201710002452,1.8868359,331.678587962963,4,5
201710002452,7.058493,1.9793634259259258,5,4
201710002452,2.1302426,1.9224074074074073,6,3
201710002452,1.790902,1.9208564814814815,7,2
201710002452,1.6818632,0.20668981481481483,8,1
201710002672,7.3552074,350.6506712962963,1,5
201710002672,6.871358,1.5181018518518519,2,4
201710002672,6.1773157,1.515300925925926,3,3
201710002672,1.9013767,1.4150578703703705,4,2
201710002672,1.7809391,1.4141319444444445,5,1
201710002691,18.195982,353.64613425925927,1,5
201710002691,15.66227,351.77136574074075,2,4
201710002691,13.64638,11.673472222222221,3,3
201710002691,4.0377364,1.6786458333333334,4,2
201710002691,3.987585,1.6767361111111112,5,1
201710002850,7.7513585,337.4869212962963,1,5
201710002850,7.4719543,2.559849537037037,2,4
201710002850,5.2194495,2.5048032407407406,3,3
201710002850,1.8648577,1.3969791666666667,4,2
201710002850,1.7853839,1.394976851851852,5,1
