CASE ID,A_ACCEPTED,A_CANCELLED,A_DECLINED,TEST_A_ACCEPTED,TEST_A_CANCELLED,TEST_A_DECLINED,Events from start,Events from end
173706,0.35065573,0.17415681,0.64246494,0,0,1,1,9
173706,0.35014385,0.1739212,0.64290273,0,0,1,2,8
173706,0.35473853,0.1716173,0.64975196,0,0,1,3,7
173706,0.40976092,0.19902772,0.6027583,0,0,1,4,6
173706,0.63676226,0.3633947,0.36886516,0,0,1,5,5
173706,0.6419176,0.3864283,0.3525933,0,0,1,6,4
173706,0.64923245,0.40939355,0.33446392,0,0,1,7,3
173706,0.6425802,0.453819,0.30095544,0,0,1,8,2
173706,0.0017674267,0.0058149397,0.0025314093,0,0,0,9,1
173712,0.35064363,0.17415476,0.6424678,0,1,0,1,9
173712,0.35002285,0.17389622,0.64293194,0,1,0,2,8
173712,0.35573167,0.17175025,0.6501595,0,1,0,3,7
173712,0.40281504,0.19333011,0.61182404,0,1,0,4,6
173712,0.619367,0.3507197,0.38705096,0,1,0,5,5
173712,0.6301727,0.38202804,0.36509877,0,1,0,6,4
173712,0.6435034,0.4049172,0.34473467,0,1,0,7,3
173712,0.6442804,0.45144808,0.30565166,0,1,0,8,2
173712,0.0017568171,0.0057735145,0.0025275946,0,0,0,9,1
173727,0.3506587,0.1741584,0.6424624,0,0,1,1,2
173727,0.35018748,0.17390949,0.6429626,0,0,1,2,1
173751,0.35065413,0.17415848,0.6424619,1,0,0,1,19
173751,0.35015848,0.17388463,0.6430314,1,0,0,2,18
173751,0.7218023,0.39979953,0.26807857,1,0,0,3,17
173751,0.7610068,0.42465913,0.24854186,1,0,0,4,16
173751,0.74637127,0.4653276,0.23637658,1,0,0,5,15
173751,0.6874766,0.52630204,0.20031995,1,0,0,6,14
173751,0.003154248,0.4418167,0.15176338,0,0,0,7,13
173751,0.0036450922,0.45715925,0.18664283,0,0,0,8,12
173751,0.0034166276,0.3980554,0.20452142,0,0,0,9,11
173751,0.0068634152,0.4389079,0.19841772,0,0,0,10,10
173751,0.008785576,0.44723478,0.18785384,0,0,0,11,9
173751,0.0077041686,0.47114515,0.17381659,0,0,0,12,8
173751,0.0011558533,0.086265534,0.18078873,0,0,0,13,7
173751,0.0032344162,0.054581076,0.2989843,0,0,0,14,6
173751,0.0020989776,0.04588735,0.27028045,0,0,0,15,5
173751,0.0004876554,0.0016633868,0.0019502342,0,0,0,16,4
